SYGNATURA,NAZWA DOKUMENTU,DATA WYSTAWIENIA,DODATKOWE INFORMACJE,KWOTA BRUTTO,TERMIN P£ATNOŒCI,KWOTA DO ZAP£ATY,ZAP£ACONA,
U/07/94/9436084/0290718P5,Faktura prognozowana,20.02.2018,Zu¿ycie energii: 330 kWh,190,80,20.07.2018,---,zap³acona
U/07/94/9436084/0280618P4,Faktura prognozowana,20.02.2018,Zu¿ycie energii: 330 kWh,190,80,20.06.2018,---,zap³acona
U/07/94/9436084/0270518P3,Faktura prognozowana,20.02.2018,Zu¿ycie energii: 330 kWh,190,80,20.05.2018,---,zap³acona
U/07/94/9436084/0260418P2,Faktura prognozowana,20.02.2018,Zu¿ycie energii: 330 kWh,190,80,20.04.2018,---,zap³acona
U/07/94/9436084/0250318P1,Faktura prognozowana,20.02.2018,Zu¿ycie energii: 330 kWh,190,80,20.03.2018,---,zap³acona
U/07/94/9436084/0240218RW,Faktura rozliczeniowa,20.02.2018,Zu¿ycie energii: 2077 kWh,175,72,20.03.2018,---,zap³acona
U/07/94/9436084/0230118P5,Faktura prognozowana,18.08.2017,Zu¿ycie energii: 355 kWh,204,52,15.01.2018,---,zap³acona
U/07/94/9436084/0221217P4,Faktura prognozowana,18.08.2017,Zu¿ycie energii: 355 kWh,204,52,15.12.2017,---,zap³acona
U/07/94/9436084/0211117P3,Faktura prognozowana,18.08.2017,Zu¿ycie energii: 355 kWh,204,52,15.11.2017,---,zap³acona
U/07/94/9436084/0201017P2,Faktura prognozowana,18.08.2017,Zu¿ycie energii: 355 kWh,204,52,15.10.2017,---,zap³acona
U/07/94/9436084/0190917P1,Faktura prognozowana,18.08.2017,Zu¿ycie energii: 355 kWh,204,52,15.09.2017,---,zap³acona
U/07/94/9436084/0180817RW,Faktura rozliczeniowa,18.08.2017,Zu¿ycie energii: 1687 kWh,654,8,15.09.2017,---,zap³acona
U/07/94/9436084/0170717P5,Faktura prognozowana,15.02.2017,Zu¿ycie energii: 99 kWh,67,2,15.07.2017,---,zap³acona
U/07/94/9436084/0160617P4,Faktura prognozowana,15.02.2017,Zu¿ycie energii: 99 kWh,67,2,15.06.2017,---,zap³acona
U/07/94/9436084/0150517P3,Faktura prognozowana,15.02.2017,Zu¿ycie energii: 99 kWh,67,2,15.05.2017,---,zap³acona
U/07/94/9436084/0140417P2,Faktura prognozowana,15.02.2017,Zu¿ycie energii: 99 kWh,67,2,15.04.2017,---,zap³acona
U/07/94/9436084/0130317P1,Faktura prognozowana,15.02.2017,Zu¿ycie energii: 99 kWh,67,2,15.03.2017,---,zap³acona
U/07/94/9436084/0120217RW,Faktura rozliczeniowa,15.02.2017,Zu¿ycie energii: 1789 kWh,720,72,15.03.2017,---,zap³acona
U/94/9436084/1117P5,Faktura prognozowana,19.08.2016,Zu¿ycie energii: 99 kWh,62,12,16.01.2017,---,zap³acona
U/94/9436084/1016P4,Faktura prognozowana,19.08.2016,Zu¿ycie energii: 99 kWh,62,12,16.12.2016,---,zap³acona
U/94/9436084/0916P3,Faktura prognozowana,19.08.2016,Zu¿ycie energii: 99 kWh,62,12,16.11.2016,---,zap³acona
U/94/9436084/0816P2,Faktura prognozowana,19.08.2016,Zu¿ycie energii: 99 kWh,62,12,16.10.2016,---,zap³acona
U/94/9436084/0716P1,Faktura prognozowana,19.08.2016,Zu¿ycie energii: 99 kWh,62,12,16.09.2016,---,zap³acona
U/94/9436084/0616RX,Faktura rozliczeniowa,19.08.2016,Zu¿ycie energii: 511 kWh,-116,55,19.08.2016,---,zap³acona
U/94/9436084/0516P5,Faktura prognozowana,25.02.2016,Zu¿ycie energii: 148 kWh,87,98,24.07.2016,---,zap³acona
U/94/9436084/0416P4,Faktura prognozowana,25.02.2016,Zu¿ycie energii: 148 kWh,87,98,24.06.2016,---,zap³acona
U/94/9436084/0316P3,Faktura prognozowana,25.02.2016,Zu¿ycie energii: 148 kWh,87,98,24.05.2016,---,zap³acona
U/94/9436084/0216P2,Faktura prognozowana,25.02.2016,Zu¿ycie energii: 148 kWh,87,98,24.04.2016,---,zap³acona
U/94/9436084/0116P1,Faktura prognozowana,25.02.2016,Zu¿ycie energii: 148 kWh,87,98,24.03.2016,---,zap³acona
